If you enjoyed,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
"How to Build and Publish ES6 Modules Today, with Babel and Rollup",Vision API - Image Content Analysis,Introducing Style Detection for Google Cloud Vision API,Google planeja ferramentas de inteligência artificial para Raspberry Pi | Google Discovery,Quando o Scrum irá falhar - Tableless,Modelando APIs REST com Swagger
Gartner: em 2020 não haverá mais aplicativos,LPIC-OT DevOps Engineer | Linux Professional Institute,What's the Best Programming Language to Learn in 2017?,WORKPEDIA 2016,Discutindo Devops na Prática,Plano de Evolução - nível de qualidade equipe Java -
"Google is discontinuing Google+ Hangouts On Air on September 12, pushes users to YouTube Live","Google Cloud Platform icons and sample architectural diagrams, for your designing pleasure",Two Different Sales Motions . . . .,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel","Introducing Cloud Natural Language API, Speech API open beta and our West Coast region expansion",Google Cloud Platform sets a course for new horizons
Cookbook,How Green Was My Valley (1941),"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Ordering coffee in Italy: the 10 commandments,Joel on Software,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday
Coca-Cola Is Paying $575 Million for Unilever's Soy Drink Business,Automation and anxiety,"Have a Coke, take a photo and celebrate the Coke bottle's 100th anniversary using How-Old.net",Google is quietly recording everything you say. Here's how to hear it,"Coca-Cola é 1ª da lista ""Fortune"" a repor toda a água usada | EXAME.com",How enterprise architects can help ensure success with digital transformations
Cloud Native Part 1: Definition,"Facebook sends a loud message about Messenger bots, but will we hear it?","Miracles of Human Language: An Introduction to Linguistics - Universiteit Leiden, Meertens instituut (KNAW) | Coursera",Learning to learn by gradient descent by gradient descent,Learning How to Learn: The Most Important Developer Skill - Free Code Camp,Google lança Cloud Functions
Readable Content Guides,Sam Newman - Backends For Frontends,Revolutionize business communication with Kast,Dark Scrum,ConstraintLayout - Part 1,Alecrim/AlecrimCoreData
Portal Abrasce - Conhecendo o frequentador de shopping center,Negociação deve garantir ocupação de shoppings até 2017 | EXAME.com,SpotHero is ready for the future of autonomous parking,TI Bimodal? Receita para o desastre...,"Pelo sétimo mês consecutivo, fluxo de visitantes a shopping centers recua | VEJA.com",Three Lessons for Design-Driven Success
Why Many Smart Contract Use Cases Are Simply Impossible - CoinDesk,Blockchain startup R3 cuts fund-raising target to $150 million: source,3 Big Blockchain Ideas MIT is Working on Right Now - CoinDesk,4 Blockchain Macro Trends: Where to Place Your Bets,"Amazon looking to buy Capital One? "" Banking Technology",Google e GFT firmam parceria para testes com foco em blockchain - Startupi
Google cloud boss Diane Greene: We're winning against AWS and Microsoft,The emerging Darwinian approach to analytics and augmented intelligence,Exclusive: Why Microsoft is betting its future on AI,Google connects BigQuery to Google Drive and Sheets,Google may unveil Android VR headset at I/O conference,What SWAG will Google I/O 2016 attendees take home?
Reactive log stream processing with RxJava - Part I,Migrating to the New Java 8 Date Time API | Baeldung,Building Spring Cloud Microservices That Strangle Legacy Systems,Microservices Architecture on Google App Engine,Learn Microservices in Java - DZone - Refcardz,"Tabs vs Spaces: How They Write Java at Google, Twitter, Mozilla and Pied Piper | Takipi Blog"
How to augment your career with leadership coaching,Investimentos em coaching e mentoring aumentam nas empresas,Cinco competências comportamentais para você ser um bom líder,Como resolver conflitos no ambiente corporativo us,O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,Lean IT is all about people - o Lean na TI é focado em pessoas
Acesse a versão Material Design do YouTube | Google Discovery,Gmail e Inbox by Gmail terão suporte a e-mails com design responsivo | Google Discovery,How I sped up the initial render of my Polymer app by 86%,The Progress of Web Apps - On the Edge,"Walgreens now lets you digitally clip coupons from its iOS app, redeem in-store through Apple Pay with loyalty card",Infrequently Noted
This year's Founders' Letter,DeepMind moves to TensorFlow,Deep learning software knows that a rose is a rose is a rosa rubiginosa,"Apple acquires Turi, a machine learning company",An Exclusive Look at How AI and Machine Learning Work at Apple - Backchannel,The AI business landscape
IBM Watson is Working to Bring AI to the Blockchain - CoinDesk,Microsoft and Bank of America Merrill Lynch Collaborate to Transform Trade Finance Transacting With Azure Blockchain as a Service,Governo abre consulta pública para Plano Nacional de IoT | NOTÍCIAS - Brasscom,Curso mbed na KL25Z - Primeiros passos - Embarcados,Comparing IoT Platforms: Compare 4 IoT platform for IoT projects,"Our Goal is to Replace Your Need for a Bank, Says Blockchain Co-Founder and CEO Nicolas Cary"
One weird trick that will change the way you code forever: JavaScript TDD,Docker Engine 1.11 with runC: Announcing the general availability of the industry's first OCI-compliant runtime,Windows Subsystem for Linux Overview,Java 8 Best Practices Cheat Sheet,Apple gives devs the chance to harness power of neural networks,What's the Best Programming Language to Learn in 2017?
Tem hora certa pra sair do armário?,Este site quer conectar profissionais trans e travestis a empresas que não têm preconceito,Conheça 20 atletas LGBT que vão competir nas Olimpíadas do Rio,Brasileira do rúgbi é pedida em casamento durante premiação,Para entender o Dia Internacional contra a Homofobia,"Smart Managers Don't Compare People to the ""Average"""
Blockchain Will Be Used By 15% of Big Banks By 2017,Banco Original discute tendências dos serviços financeiros e lança plataforma para desenvolvedores - Startupi,"Bancos brasileiros aplicaram R$ 19,2 bilhões em esforços de TI em 2015",Accenture and Adboe team on customer enegagement,"Facebook says 10K+ developers are building chatbots, analytics coming","Say goodbye to traditional customer segmentation "" Banking Technology"
Java 8 Best Practices Cheat Sheet,Performance Testing in a Nutshell,Como a Netshoes se preparou para a Black Friday deste ano,Comment: IBM's Apple deployment stats should be a lesson to enterprise companies everywhere,Microservices - When to React Vs. Orchestrate - Capital One DevExchange,Notes on Reactive Programming Part I: The Reactive Landscape
Pull request first - Practical Blend,Post: Just Say mNo to Hungarian Notation,The Importance of Code Reviews,AWS Certified Solutions Architect Professional – Study Guide – Domain 2.0 Costing,Bolinho de parmesão,Optimizing the Performance of Vector Drawables - upday devs
We spent a week making Trello boards load extremely fast. Here's how we did it.,Lady Gaga's startup Backplane burns out and sells assets,Top 5 GCP NEXT breakout sessions on YouTube (so far),Evernote anuncia integração com Google Drive | Google Discovery,This CEO Runs a Billion-Dollar Company With No Offices or Email,Segment helps businesses integrate third-party sources into their data pipelines
Machine learning at the museum: this week on Google Cloud Platform,Google researchers teach AIs to see the important parts of images - and tell you about them,Mapping the World of Music Using Machine Learning: Part 1 - iHeartRadio Tech Blog,Deep Learning Race: A Survey of Industry Players' Strategies - Intuition Machine,My Top 9 Favorite Python Deep Learning Libraries - PyImageSearch,How I got into the top 15 of a Kaggle competition in 3 days: A Python Tutorial
"Facebook says 10K+ developers are building chatbots, analytics coming",Banco Original discute tendências dos serviços financeiros e lança plataforma para desenvolvedores - Startupi,Global Data Bank é lançado internacionalmente com operação no Brasil,Blockchain Will Be Used By 15% of Big Banks By 2017,1% das empresas dominam 94% das receitas na App Store,Accenture and Adboe team on customer enegagement
A New Number Format for Computers Could Nuke Approximation Errors for Good,From fine wine to lotteries: Blockchain tech takes off - BBC News,Google is secretly creating a new OS that's not based on Linux,"YouTube pode lançar serviço de televisão online ""Unplugged"" em 2017 | Google Discovery",Introducing the new Google Cloud Load Balancing UI,Touch (TV Series 2012-2013)
19 Tips For Everyday Git Use,Create a Slack Bot to Interact with Your Wiki,Prototypal Object-Oriented Programming using JavaScript,The Business Case for Progressive Web Apps,Docker Online Meetup #46: Introduction to InfraKit - Docker Blog,Effective learning through code workshops | Box Blog
"What do you mean by ""Event-Driven""?",10 Modern Software Over-Engineering Mistakes,"Microservices Reference Architecture, Part 4 -12‑Factor App",Stackdriver Trace for App Engine is GA; app latency has nowhere to hide,The Netflix Tech Blog: Engineering Trade-Offs and The Netflix API Re-Architecture,Microservices - When to React Vs. Orchestrate - Capital One DevExchange
Bitcoin Accepted! German Energy Giant Enables Payments - CCN: Financial Bitcoin & Cryptocurrency News,Atlassian launches Bitbucket Pipelines,The Democratization of Innovation for the Internet of Things,[Webinar] PMI | Project Management Institute,This Tiny Robot Lets You Play God With Huge AI,Machine Learning is Fun! Part 3: Deep Learning and Convolutional Neural Networks
Will IIoT bolster industrial automation investments? - ReadWrite,1º Congresso Brasileiro de IoT - Embarcados,Put a ring on it: three smart rings with plenty of beauty and brains,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,"""5G está para IoT como 4G esteve para o Smartphone"", saiba as apostas da Intel para 2017",Burger King aceita pedidos via mensagens no Facebook - Startupi
Behind Facebook Messenger's plan to be an app platform,Task management app Asana raises $50M at a $600M valuation led by YC's Sam Altman,How Mark Zuckerberg Led Facebook's War to Crush Google Plus,How to approach machine learning as a non-technical person,Exclusive: Why Microsoft is betting its future on AI,Approaching (Almost) Any Machine Learning Problem | Abhishek Thakur
'Robô-rancheiro' conseguirá cuidar sozinho de fazendas de gado,SIG Combibloc lança campanha para Américas e consolida sua proposta de valor,"Heroína, nazistas e agente laranja: por dentro da fusão do ano",Brazilian Government and Ericsson to innovate together for Internet of Things,"Agronegócio entra na era da agricultura digital | Economia, Notícias | Tribuna PR - Paraná Online",Bayer anuncia compra da Monsanto por US$ 66 bilhões
